 [x] Sent b'[2/20/2023 8:58, 88.0]' on route-C
 [x] Sent b'[2/20/2023 8:59, 98.0]' on route-A
 [x] Sent b'[2/20/2023 8:59, 118.0]' on route-B
 [x] Sent b'[2/20/2023 8:59, 89.0]' on route-C
 [x] Sent b'[2/20/2023 8:59, 115.0]' on route-A
 [x] Sent b'[2/20/2023 8:59, 108.0]' on route-C
 [x] Sent b'[2/20/2023 8:59, 103.0]' on route-A
 [x] Sent b'[2/20/2023 8:59, 105.0]' on route-B
 [x] Sent b'[2/20/2023 8:59, 107.0]' on route-C
 [x] Sent b'[2/20/2023 9:00, 126.0]' on route-A
 [x] Sent b'[2/20/2023 9:00, 114.0]' on route-B
 [x] Sent b'[2/20/2023 9:00, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:00, 97.0]' on route-A
 [x] Sent b'[2/20/2023 9:00, 120.0]' on route-B
 [x] Sent b'[2/20/2023 9:00, 122.0]' on route-C
 [x] Sent b'[2/20/2023 9:00, 104.0]' on route-A
 [x] Sent b'[2/20/2023 9:00, 128.0]' on route-B
 [x] Sent b'[2/20/2023 9:00, 116.0]' on route-C
 [x] Sent b'[2/20/2023 9:01, 85.0]' on route-B
 [x] Sent b'[2/20/2023 9:01, 106.0]' on route-A
 [x] Sent b'[2/20/2023 9:01, 125.0]' on route-B
 [x] Sent b'[2/20/2023 9:01, 104.0]' on route-C
 [x] Sent b'[2/20/2023 9:01, 103.0]' on route-A
 [x] Sent b'[2/20/2023 9:01, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:01, 111.0]' on route-C
 [x] Sent b'[2/20/2023 9:02, 101.0]' on route-A
 [x] Sent b'[2/20/2023 9:02, 110.0]' on route-B
 [x] Sent b'[2/20/2023 9:02, 118.0]' on route-C
 [x] Sent b'[2/20/2023 9:02, 92.0]' on route-A
 [x] Sent b'[2/20/2023 9:02, 106.0]' on route-B
 [x] Sent b'[2/20/2023 9:02, 99.0]' on route-C
 [x] Sent b'[2/20/2023 9:02, 99.0]' on route-A
 [x] Sent b'[2/20/2023 9:02, 104.0]' on route-B
 [x] Sent b'[2/20/2023 9:02, 89.0]' on route-C
 [x] Sent b'[2/20/2023 9:03, 120.0]' on route-A
 [x] Sent b'[2/20/2023 9:03, 95.0]' on route-B
 [x] Sent b'[2/20/2023 9:03, 123.0]' on route-C
 [x] Sent b'[2/20/2023 9:03, 101.0]' on route-A
 [x] Sent b'[2/20/2023 9:03, 122.0]' on route-B
 [x] Sent b'[2/20/2023 9:03, 90.0]' on route-C
 [x] Sent b'[2/20/2023 9:03, 97.0]' on route-A
 [x] Sent b'[2/20/2023 9:03, 86.0]' on route-B
 [x] Sent b'[2/20/2023 9:03, 130.0]' on route-C
 [x] Sent b'[2/20/2023 9:04, 89.0]' on route-A
 [x] Sent b'[2/20/2023 9:04, 111.0]' on route-B
 [x] Sent b'[2/20/2023 9:04, 116.0]' on route-C
 [x] Sent b'[2/20/2023 9:04, 107.0]' on route-A
 [x] Sent b'[2/20/2023 9:04, 103.0]' on route-B
 [x] Sent b'[2/20/2023 9:04, 115.0]' on route-C
 [x] Sent b'[2/20/2023 9:04, 90.0]' on route-A
 [x] Sent b'[2/20/2023 9:04, 107.0]' on route-B
 [x] Sent b'[2/20/2023 9:04, 88.0]' on route-C
 [x] Sent b'[2/20/2023 9:05, 117.0]' on route-A
 [x] Sent b'[2/20/2023 9:05, 91.0]' on route-B
 [x] Sent b'[2/20/2023 9:05, 124.0]' on route-C
 [x] Sent b'[2/20/2023 9:05, 122.0]' on route-A
 [x] Sent b'[2/20/2023 9:05, 109.0]' on route-B
 [x] Sent b'[2/20/2023 9:05, 90.0]' on route-C
 [x] Sent b'[2/20/2023 9:05, 117.0]' on route-A
 [x] Sent b'[2/20/2023 9:05, 92.0]' on route-B
 [x] Sent b'[2/20/2023 9:05, 92.0]' on route-C
 [x] Sent b'[2/20/2023 9:06, 107.0]' on route-A
 [x] Sent b'[2/20/2023 9:06, 111.0]' on route-B
 [x] Sent b'[2/20/2023 9:06, 123.0]' on route-C
 [x] Sent b'[2/20/2023 9:06, 111.0]' on route-A
 [x] Sent b'[2/20/2023 9:06, 116.0]' on route-B
 [x] Sent b'[2/20/2023 9:06, 113.0]' on route-C
 [x] Sent b'[2/20/2023 9:06, 92.0]' on route-A
 [x] Sent b'[2/20/2023 9:06, 115.0]' on route-B
 [x] Sent b'[2/20/2023 9:06, 87.0]' on route-C
 [x] Sent b'[2/20/2023 9:07, 119.0]' on route-A
 [x] Sent b'[2/20/2023 9:07, 88.0]' on route-B
